DateTime,Entries,UniqueIPs
1486910145,58476,51195946
1486911442,58407,51195868
1486989040,58688,51196293
1487020172,58724,51196389
1487068349,58830,51196483
1487075436,58804,51196460
1487087054,58877,34419318
1487099795,58929,34419386
1487115993,58878,34419334
1487161835,58845,34419294
1487184097,59026,34419528
1487200225,59206,34419732
1487248235,59223,34419755
1487265896,59267,34419798
1487266582,59323,34419899
1487271071,59257,34419833
1487334635,59328,34419918
1487348429,59221,34485332
1487349231,59520,34485624
1487421036,59572,34485689
1487442441,59504,34485622
1487507440,59587,34485735
1487507851,59597,34485757
1487515816,59525,34485678
1487590400,59527,34485662
1487593839,59496,34485642
1487676580,59607,34485774
1487676636,59652,34485826
1487680237,59689,34485869
1487720697,59947,34486222
1487766638,59984,34486265
1487794976,59989,34486234
1487853054,60121,34486350
1487863934,60205,34486439
1487868301,60132,34486378
1487939444,60175,34486429
1487940426,60211,34486479
1488010711,60269,34486564
1488025849,60284,34486576
1488038803,60331,34486636
1488112261,60254,34486558
1488125149,60242,34486557
1488125205,60263,34486594
1488196888,60206,34486533
1488198646,60133,34486465
1488209400,60242,34486600
1488219867,60238,34490691
1488235328,60328,34490808
1488281444,60278,34490750
1488289957,60270,34490743
1488318432,60208,34490676
1488367845,60148,34490617
1488370603,60136,34490600
1488395265,60119,34490528
1488454260,60051,34490413
1488455368,60034,34490386
1488479223,60192,34490594
1488489691,60323,34490770
1488540644,60286,34490728
1488554263,60459,34490928
1488564465,60518,34491001
1488627043,60424,34490918
1488633032,60342,34490828
1488713442,60228,34490685
1488798961,60415,34490904
1488799844,60349,34490831
1488882321,60332,34490781
1488886244,60309,34490758
1488916753,60211,34490649
1488972644,60190,34490620
1488981559,60247,34490694
1489059044,60307,34490778
1489145444,60299,34490769
1489145698,60314,34490774
1489231845,60102,34490448
1489245317,60063,34490405
1489256282,60093,34490445
1489318244,60068,34490401
1489335217,60065,34490411
1489336974,59653,34489731
1489404644,59630,34489721
1489416891,59730,34489835
1489417839,59744,34489834
1489445328,59122,34488921
1489491043,59113,34488912
1489502441,59066,34488865
1489503213,59049,34488841
1489526950,59050,34489097
1489527966,58773,34488720
1489577444,58765,34488707
1489587590,58935,34488901
1489608653,58750,34488680
1489624631,58798,34488722
1489663851,58834,34488776
1489695289,58757,34488685
1489750245,58864,34488819
1489755443,58839,34488787
1489765596,58817,34488758
1489770280,58819,34488777
1489836643,58815,34488778
1489855323,58899,34488884
1489923044,58876,34488877
1489930278,58859,34488844
1489931501,58896,34488864
1490009444,58882,34488846
1490015983,58906,34488891
1490038026,58930,34488920
1490049860,58929,34751060
1490055675,58868,34750975
1490095844,58911,34751024
1490123907,58944,34751086
1490134681,58842,34750968
1490182245,58873,34751003
1490201533,58960,34751134
1490207850,58987,34751152
1490220278,58984,34751143
1490224106,58985,34753191
1490268644,59005,34753214
1490278322,59024,34753230
1490293110,59072,34753288
1490355046,59094,34753299
1490372160,59268,34753514
1490375812,59258,34753490
1490375825,59195,34753430
1490441446,59202,34753447
1490457709,59176,34753415
1490457724,59134,34753366
1490527846,59153,34753361
1490541336,59241,34753454
1490546773,59359,34753591
1490614252,59373,34753617
1490616494,59308,34753548
1490632080,59256,34753500
1490700660,59255,34753499
1490719082,59362,34753623
1490775684,59361,34753611
1490787049,59401,34753646
1490802287,59336,34753532
1490819442,59330,34753519
1490868436,58947,34753019
1490873459,58956,34753032
1490889369,58922,34752984
1490895515,58938,34753000
1490909924,58723,34752675
1490959845,58717,34752663
1490971274,58717,34736790
1490975048,58861,34736971
1490994341,58758,34736844
1491046246,58654,34736733
1491070388,58687,34736760
1491072378,58517,34736536
1491084888,58562,34736592
1491132647,58565,34736581
1491152946,58520,34736528
1491171120,58376,34736256
1491219050,58394,34736273
1491228084,58165,34735944
1491239993,58297,34736083
1491305445,58299,34736129
1491314121,58386,34736301
1491326006,58383,34736305
1491391874,58376,34736296
1491410465,58314,34736126
1491475137,58068,34735837
1491478244,58108,34735869
1491494030,58285,34736066
1491561499,58138,34735824
1491564649,58132,34735815
1491579795,58094,34735780
1491642995,57830,34735438
1491651049,57831,34735445
1491679867,57696,34735240
1491697976,57676,34735216
1491737457,57617,34735153
1491753511,57454,34734934
1491781077,57566,34735059
1491823862,57913,34735511
1491836843,57896,34735481
1491856382,57984,34735599
1491857402,57895,34735514
1491910253,57946,34735573
1491914533,57969,34735593
1491925255,57673,34735231
1491943558,57701,34735269
1491996652,57766,34735334
1492011277,57774,34735329
1492030109,57830,34735388
1492080358,57791,34735342
1492083082,57860,34735445
1492113636,58174,34735840
1492160207,58280,34735960
1492167722,58263,34735923
1492169450,58306,34735969
1492194983,58225,34735879
1492204066,58173,34735794
1492255856,58203,34735827
1492279555,58169,34735780
1492284069,58260,34735876
1492342250,58230,34735844
1492364165,58246,34735869
1492371044,58225,34735837
1492428652,58280,34735905
1492450700,58267,34735905
1492515054,58394,34736010
1492527984,58346,34735950
1492536696,58306,34735919
1492537199,58313,34735918
1492601466,58330,34735939
1492605243,58298,34735874
1492619555,58442,34736047
1492623440,58448,34736045
1492687855,58456,34736070
1492705390,58355,34735930
1492707587,58408,34735990
1492774259,58416,34735967
1492794401,58522,34736080
1492802899,58284,34735811
1492818110,58225,34735743
1492860675,58220,34735763
1492888933,58316,34735873
1492895102,58273,34735823
1492900943,58274,34735822
1492947054,58222,34735747
1492972660,58233,34735760
1492976430,58225,34735746
1493033446,58206,34735729
1493048421,58230,34735752
1493057712,58337,34735862
1493119862,58214,34735681
1493135555,58204,34735673
1493138162,58074,34735516
1493138864,58085,34735524
1493206323,58123,34735548
1493221044,58223,34735665
1493221879,58210,34735648
1493225125,58328,34735777
1493292665,58382,34735829
1493307432,58464,34735915
1493307720,58356,34735784
1493308639,58339,34735766
1493379053,58344,34735779
1493393738,58359,34735812
1493465472,58404,34735836
1493478149,58336,34735760
1493551855,58356,34735770
1493561861,58379,34735783
1493569501,58425,34735837
1493638259,58411,34735809
1493647222,58412,34736065
1493649070,58450,34736118
1493653834,58449,34736111
1493712211,58464,34736122
1493724645,58431,34736067
1493765084,58589,34736253
1493806002,58833,34736522
1493811075,58844,34736531
1493847218,59001,34736748
1493851024,58962,34736707
1493897457,58986,34736710
1493925960,59013,34736740
1493927949,59077,34736801
1493936892,59201,34736937
1493983851,59143,34736879
1494070266,59053,34736796
1494090864,59067,34736819
1494110966,59061,34736814
1494156652,58930,34736693
1494171264,58959,34736716
1494173564,58910,34736656
1494196349,58978,34736735
1494243049,58929,34736692
1494257981,59000,34736769
1494279337,58953,34736707
1494329461,59764,34737525
1494336324,59807,34737577
1494366058,59937,34737735
1494407355,59990,34737803
1494415858,60687,34738526
1494423211,60657,34738489
1494450175,60686,34738511
1494502259,60836,34738664
1494522706,60913,34738761
1494537285,60867,34738717
1494565158,60709,34738473
1494588668,60838,34738605
1494675050,60991,34738754
1494693444,60996,34738764
1494700861,61017,34738794
1494761449,61062,34738836
1494779381,61062,34738831
1494847853,61158,34738940
1494858206,61174,34738956
1494864573,61178,34738949
1494934254,61340,34739101
1494937598,61341,34739108
1494944479,61283,34739043
1494991078,61272,34739036
1495020658,61391,34739155
1495030622,61506,34739293
1495060878,61486,34739277
1495107056,61582,34739366
1495141172,61629,34739425
1495146701,61628,34739416
1495193455,60929,34738693
1495217458,60985,34738758
1495224536,60844,34738601
1495279856,60280,34738052
1495308241,60343,34738109
1495317196,60420,34738192
1495366258,60362,34738123
1495369668,60325,34738086
1495389096,60346,34738116
1495402872,60466,34738250
1495452724,60430,34738219
1495462188,60441,34738228
1495476214,60383,34738165
1495488034,60459,34738241
1495539055,60442,34738247
1495549144,60428,34738249
1495563037,60548,34738376
1495567806,60525,34738358
1495625456,60597,34738428
1495647703,60768,34738645
1495651406,60845,34738731
1495698652,60860,34738767
1495711858,60900,34738813
1495732900,60841,34738735
1495735759,60841,34738732
1495748156,60769,34738625
1495798256,60723,34738560
1495822310,60803,34738639
1495885187,60786,34738642
1495901430,60821,34738674
1495912109,60772,34738614
1495971047,60794,34738643
1495971823,60800,34738662
1495983928,60786,34738643
1495997309,60713,34738564
1496057455,60761,34738618
1496058361,60785,34738643
1496062911,60772,34738628
1496065063,60952,34738828
1496143873,60988,34738861
1496220948,60994,34738879
1496221173,60964,34738822
1496221645,61019,34738890
1496230268,60973,34738855
1496270449,61037,34738941
1496316673,60950,34738850
1496326502,60938,34738837
1496352134,61005,34738910
1496403051,60909,34738837
1496412741,60955,34738883
1496417746,60856,34738777
1496489462,60730,34738662
1496513878,60369,34738247
1496516163,60288,34738161
1496575847,60168,34738055
1496662248,60034,34737927
1496695784,60033,34737922
1496748647,59987,34737856
1496767806,60005,34737863
1496835047,59960,34737819
1496852635,59983,34737840
1496921464,59817,34737684
1496959970,59866,34737735
1497007852,59724,34737596
1497044629,59975,34737877
1497094257,59958,34737859
1497105796,59954,34737854
1497118136,59868,34737759
1497180650,59872,34737768
1497203102,59857,34737753
1497205861,59821,34737708
1497212159,59807,34737694
1497214714,59734,34737626
1497267061,59741,34737625
1497277609,59743,34737624
1497289590,59821,34737723
1497353456,59851,34737748
1497375174,59865,34737757
1497378413,59863,34737751
1497431647,59946,34737853
1497440042,61563,34739464
1497461168,61666,34739572
1497464108,61665,34739559
1497482057,61653,34739545
1497526246,61770,34739672
1497547815,61725,34739619
1497549316,61683,34739580
1497551389,61690,34739575
1497612657,63758,34741650
1497637557,63941,34741833
1497699061,64749,34742667
1497720327,64748,34742676
1497736562,64625,34742502
1497785454,64692,34742574
1497801988,64759,34742654
1497815218,64786,34742699
1497871859,64791,34742699
1497885864,64810,34742724
1497897254,64982,34742914
1497958255,65102,34743034
1497964394,65105,34743033
1497974266,65193,34743122
1497980180,65065,34742982
1498044662,65129,34743025
1498059409,65201,34743094
1498066390,65311,34743216
1498075890,65306,34743208
1498131047,65357,34743248
1498136938,65357,34743246
1498142838,65267,34743146
1498161171,65298,34743174
1498217456,65313,34743182
1498236874,65541,34743445
1498303852,64010,34741903
1498317730,64021,34741911
1498340042,64060,34741949
1498390250,64005,34741884
1498417783,63921,34741794
1498472265,63961,34741827
1498472779,64020,34741922
1498476651,61923,34739802
1498499724,62052,34739948
1498554702,62096,34740000
1498554806,62097,34740008
1498563058,61269,34739170
1498585565,61220,34739115
1498640615,61280,34739180
1498649454,61279,34739166
1498666604,61393,34739278
1498694066,61357,34739240
1498715582,61343,34739213
1498735853,61409,34739268
1498777620,61472,34739334
1498777633,59987,34737749
1498822255,60004,34737776
1498837592,59996,34737765
1498837608,59922,34737687
1498908651,59913,34737667
