DateTime,Entries,UniqueIPs
1498052472,8,8
1498056267,25,25
1498060117,39,39
1498063981,48,48
1498067834,54,54
1498071655,61,61
1498075473,66,66
1498079333,70,70
1498087109,71,71
1498095201,75,75
1498099022,84,84
1498102822,92,92
1498106653,99,99
1498110531,105,105
1498114363,112,112
1498118221,114,114
1498122128,122,122
1498126114,125,125
1498129969,136,136
1498134097,141,141
1498138125,147,147
1498141997,152,152
1498145832,158,158
1498153669,161,161
1498157345,169,169
1498161143,174,174
1498165019,173,173
1498168908,173,173
1498172596,173,173
1498176273,169,169
1498180132,169,169
1498183984,173,173
1498187795,172,172
1498191676,167,167
1498195718,169,169
1498199592,167,167
1498203390,165,165
1498207220,168,168
1498211063,163,163
1498215194,166,166
1498219036,166,166
1498222962,168,168
1498226673,172,172
1498230554,172,172
1498234362,171,171
1498238220,170,170
1498242036,161,161
1498245890,161,161
1498249758,161,161
1498253571,164,164
1498257418,159,159
1498261219,162,162
1498265064,159,159
1498268948,157,157
1498272737,160,160
1498276593,160,160
1498280526,167,167
1498284528,171,171
1498288643,169,169
1498292489,173,173
1498296501,170,170
1498300375,167,167
1498304196,169,169
1498308049,170,170
1498311855,169,169
1498315707,168,168
1498319586,169,169
1498327264,171,171
1498330947,170,170
1498334929,170,170
1498339048,174,174
1498342872,176,176
1498350499,178,178
1498354383,179,179
1498358202,178,178
1498362072,178,178
1498365878,177,177
1498369741,175,175
1498373540,175,175
1498377408,176,176
1498381341,176,176
1498385085,172,172
1498388932,177,177
1498392787,173,173
1498396609,175,175
1498404261,174,174
1498408117,179,179
1498411988,175,175
1498423476,178,178
1498427397,179,179
1498431170,181,181
1498435007,182,182
1498442679,183,183
1498458042,184,184
1498461869,185,185
1498465709,187,187
1498469584,187,187
1498473397,186,186
1498477224,186,186
1498481060,189,189
1498484931,190,190
1498488749,192,192
1498492579,191,191
1498496507,191,191
1498501844,194,194
1498506681,199,199
1498510365,202,202
1498514523,201,201
1498522136,200,200
1498525958,200,200
1498529830,204,204
1498533635,207,207
1498537461,207,207
1498541312,206,206
1498545173,210,210
1498548995,209,209
1498552820,204,204
1498556657,208,208
1498560460,207,207
1498564356,204,204
1498568198,201,201
1498572137,200,200
1498575880,199,199
1498579724,185,185
1498587239,182,182
1498591026,182,182
1498594843,182,182
1498598678,182,182
1498602514,182,182
1498606376,181,181
1498610094,177,177
1498613791,176,176
1498617620,164,164
1498621486,167,167
1498625304,168,168
1498629162,170,170
1498632976,175,175
1498636973,173,173
1498640922,176,176
1498644792,176,176
1498652458,176,176
1498656273,178,178
1498660125,176,176
1498663966,174,174
1498667812,170,170
1498671666,165,165
1498675471,165,165
1498679346,162,162
1498683194,152,152
1498687339,152,152
1498691083,154,154
1498694926,156,156
1498698792,153,153
1498702869,154,154
1498706670,152,152
1498710787,151,151
1498718468,154,154
1498722272,154,154
1498726147,150,150
1498729934,148,148
1498733802,153,153
1498737902,153,153
1498741731,152,152
1498745561,156,156
1498749407,151,151
1498753232,147,147
1498757080,155,155
1498761183,155,155
1498765031,153,153
1498768830,154,154
1498772680,156,156
1498776801,155,155
1498780632,156,156
1498784589,159,159
1498788530,159,159
1498796228,158,158
1498800046,162,162
1498804118,161,161
1498807989,160,160
1498811809,157,157
1498815624,156,156
1498819481,155,155
1498823575,156,156
1498827786,157,157
1498835321,158,158
1498842997,169,169
1498846873,173,173
1498850665,175,175
1498854535,179,179
1498858372,180,180
1498862196,180,180
1498866046,181,181
1498869894,182,182
1498873728,182,182
1498881395,185,185
1498885305,185,185
1498889323,185,185
1498893174,186,186
1498897260,187,187
1498901084,186,186
1498904922,183,183
1498908767,185,185
1498912578,184,184
1498916431,184,184
1498920278,182,182
1498924124,184,184
1498927968,189,189
1498931798,192,192
1498935681,191,191
1498939739,193,193
1498951470,191,191
1498955329,190,190
1498959263,192,192
1498963005,194,194
1498966853,194,194
1498970672,198,198
1498989881,203,203
1498993737,206,206
1498997816,206,206
1499009321,215,215
1499017234,219,219
1499021091,221,221
1499025169,217,217
1499029018,219,219
1499032907,217,217
1499036709,212,212
1499040515,199,199
1499044378,191,191
1499048199,185,185
1499052160,186,186
1499055863,185,185
1499059735,183,183
1499063551,185,185
1499067397,189,189
1499071244,195,195
1499075071,203,203
1499079175,215,215
1499087351,235,235
1499091172,271,271
1499094999,299,299
1499098849,299,299
1499102932,303,303
1499106763,306,306
1499110613,307,307
1499118291,307,307
1499122136,307,307
1499125969,309,309
1499129831,316,316
1499133745,317,317
1499137488,321,321
1499141315,324,324
1499145155,329,329
1499149275,332,332
1499153066,329,329
1499156929,325,325
1499160770,322,322
1499164617,308,308
1499168448,294,294
1499172269,294,294
1499176370,289,289
1499180192,289,289
1499184130,276,276
1499187881,262,262
1499191723,256,256
1499195563,254,254
1499199404,250,250
1499203264,249,249
1499207116,249,249
1499210925,242,242
1499214781,240,240
1499218594,230,230
1499222465,224,224
1499226223,226,226
1499230136,229,229
1499233958,228,228
1499237821,227,227
1499241678,230,230
1499245746,228,228
1499249559,225,225
1499253406,228,228
1499257257,231,231
1499261064,235,235
1499264943,234,234
1499269064,239,239
1499272839,239,239
1499277065,238,238
1499280791,238,238
1499284629,238,238
1499288518,237,237
1499292297,238,238
1499296149,238,238
1499299979,241,241
1499304071,236,236
1499307987,230,230
1499311743,232,232
1499315559,233,233
1499319686,240,240
1499323485,242,242
1499327347,240,240
1499335272,242,242
1499338943,242,242
1499342952,244,244
1499346770,239,239
1499350875,239,239
1499354676,238,238
1499370066,237,237
1499373878,238,238
1499377728,238,238
1499381581,238,238
1499389489,238,238
1499393327,239,239
1499397181,241,241
1499400995,243,243
1499408941,243,243
1499412770,239,239
1499416618,236,236
1499424276,237,237
1499439694,6,6
1499447295,9,9
1499451149,10,10
1499455009,14,14
1499458858,18,18
1499462669,22,22
1499466529,23,23
1499470629,24,24
1499474451,26,26
1499478269,29,29
1499489809,35,35
1499501327,40,40
1499505174,43,43
1499508983,46,46
1499516659,50,50
1499520526,52,52
1499528194,54,54
1499532032,62,62
1499535881,64,64
1499539722,68,68
1499543544,70,70
1499547379,73,73
1499562755,89,89
1499566593,103,103
1499570448,117,117
1499574261,129,129
1499578128,142,142
1499581973,158,158
1499585847,166,166
1499589643,166,166
1499593463,157,157
1499597329,153,153
1499601164,152,152
1499605002,146,146
1499608903,142,142
1499612688,141,141
1499616539,142,142
1499624185,138,138
1499628053,138,138
1499631868,140,140
1499635711,143,143
1499639565,147,147
1499643395,149,149
1499647217,149,149
1499651063,152,152
1499654897,150,150
1499658765,151,151
1499662590,155,155
1499666486,158,158
1499670273,161,161
1499674114,161,161
1499677956,161,161
1499685628,163,163
1499689454,166,166
1499693309,167,167
1499697168,171,171
1499704758,171,171
1499708462,171,171
1499712283,175,175
1499716130,176,176
1499719962,182,182
1499723800,182,182
1499727769,179,179
1499731475,176,176
1499735329,173,173
1499739416,173,173
